date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:01	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-dropdowns.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-dropdowns.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:01	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:05%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//dropdowns.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/dropdowns.2e5.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:03	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-modals.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-modals.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:04	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:08%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//modals.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/modals.2e7.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:05	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-popups.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-popups.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:05	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:09%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//popups.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/popups.2e9.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:08	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-tabs.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-tabs.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:08	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:12%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//tabs.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/tabs.2eb.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:10	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-advancedui-timeline.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-advancedui-timeline.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:37:11	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:15%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//timeline.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/timeline.2ed.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
